STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
6,California,61175,1,1,4YDT2132*GP******,2021-09-08 14:51:24,0,6,TRAILER,2347,KEYSTONE RV,7615,KEYSTONE,20555,Keystone,2016,,,6,UNITED STATES (USA),INDIANA,GOSHEN,801,Arbitrary Final Digit,61,Trailer,,,,,21,Travel Trailer,14,Bumper Pull,21.000,Recreational Vehicle,2,,
6,California,61185,2,1,1JJV532D*CL******,2021-09-08 14:51:25,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2012,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,61188,2,1,1UYVS253*EU******,2021-09-08 14:51:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2014,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,61220,1,1,1GRAA062*5W******,2021-09-08 14:51:26,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2005,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
6,California,61257,2,1,1T9A6111*M1030***,2021-09-08 14:51:26,0,6,TRAILER,16339,TUFF BOY SALES INC,6231,TUFF BOY SALES,17296,Tuff Boy Sales,2021,,,6,UNITED STATES (USA),CALIFORNIA,MANTECA,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,24.000,"Tire & Rim Combination: 11 x 22.5 w/8.25"" Rim",1,,
6,California,61274,2,1,4C6FA482*71******,2021-09-08 14:51:26,0,6,TRAILER,3578,OSWALD INC.,2796,REINKE MANUFACTURING COMPANY,,,2007,,,6,UNITED STATES (USA),NEBRASKA,DESHLER,,,,,,,,,6,Flat Bed Trailer/Platform Trailer,,,48.000,Flatbed Aluminum,2,,
6,California,61284,2,1,3H3C532S*2T******,2021-09-08 14:51:26,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2002,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,53.000,Material: Steel,2,,
6,California,61299,2,1,LJRC4626*H1******,2021-09-08 14:51:27,0,6,TRAILER,9950,"CIMC VEHICLES GROUP CO., LTD.",4101,CIMC VEHICLES GROUP CO,8811,CIMC VEHICLES GROUP CO,2017,,,8,CHINA,,SHENZHEN,,"GVWR = 30,000-34,990kg",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,109,Container Chassis/Container Trailer,,,46.000,,2,,
6,California,61319,3,1,1UJBJ0AJ*K7******,2021-09-08 14:51:27,0,6,TRAILER,9892,"JAYCO, INC.",4516,JAYCO,29071,Jayco,2019,,,6,UNITED STATES (USA),IDAHO,KIMBERLY,Western Manufacturing,,61,Trailer,,,,,80,Rec. Trailer,14,Bumper Pull,21.990,Travel Trailer,1,5,Single
6,California,61327,2,1,10BDA410*GP******,2021-09-08 14:51:27,0,6,TRAILER,5083,BRENNER TANK LLC,6976,BRENNER/BEALL/LAFAYETTE,21579,DRY BULK,2016,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,,,,,,Type of Material: Aluminum,1,,
