ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10540,0,0,0,0,0,0,0,0,0,0
10541,0,0,0,0,0,0,0,0,0,0
10542,0,0,0,0,0,0,0,0,0,0
10543,0,0,0,5,0,0,0,0,0,0
10544,1,1,1,1,1,1,1,1,1,1
10545,18,18,18,18,18,18,18,18,18,18
10546,16,17,17,13,4,12,8,18,13,0
10547,0,10,0,0,0,0,0,0,17,0
10548,0,0,13,0,0,0,0,0,0,0
10549,0,0,0,0,0,0,0,7,0,0
10550,0,0,0,0,0,0,0,0,0,0
10551,0,0,0,0,0,0,0,0,0,0
10552,0,0,0,0,0,0,11,0,0,0
10553,21,21,21,21,21,21,21,21,21,21
10554,0,0,0,0,11,0,0,0,0,0
10555,0,0,0,0,0,0,0,0,0,0
10556,13,0,13,0,21,5,0,0,0,0
10557,0,0,0,0,0,0,0,0,0,0
10558,20,20,20,20,20,20,20,20,20,20
10559,0,0,0,0,0,0,0,0,0,0
10560,0,0,0,0,0,0,0,0,0,0
10561,0,0,0,0,0,0,0,0,0,0
10562,11,11,11,11,11,11,11,11,11,11
10563,19,19,19,19,19,19,23,19,19,19
10564,17,0,0,28,11,11,0,9,6,0
10565,0,0,0,0,0,0,0,0,0,0
10566,13,27,26,24,17,5,15,8,20,8
10567,19,19,19,19,19,19,19,19,19,19
10569,0,0,0,0,0,0,0,0,0,0
10570,0,0,0,0,0,0,0,0,0,0
10571,0,20,0,0,0,0,0,0,0,0
10572,0,0,0,0,0,0,0,0,0,0
10573,0,0,0,0,0,0,16,0,0,0
10574,0,0,22,0,17,0,11,0,0,0
10575,22,22,22,22,22,22,22,22,22,22
10576,0,0,0,20,0,0,0,0,0,0
10577,0,0,0,0,24,0,3,0,25,0
10578,0,0,0,0,0,11,0,0,29,0
10579,0,0,0,0,0,0,0,0,0,0
10580,21,21,21,21,21,21,21,21,21,21
10581,1,1,1,1,1,1,1,1,1,1
10582,0,0,0,0,0,0,0,0,0,0
10583,0,0,0,0,0,0,0,0,0,0
10584,0,3,0,0,9,0,0,0,0,0
10585,0,0,0,0,0,0,0,0,0,0
10586,9,9,9,9,9,9,9,9,9,9
10587,0,19,0,0,0,0,0,15,5,0
10588,0,0,0,0,0,0,0,0,0,0
10589,0,0,15,0,0,0,0,0,0,0
10590,10,0,0,0,0,0,0,7,0,0
10591,23,23,23,23,23,23,23,23,23,23
10592,27,27,27,27,27,27,27,27,27,27
10593,15,15,15,15,15,15,15,15,15,15
10594,0,0,0,0,0,0,0,0,0,0
10595,0,17,0,0,12,0,0,0,0,9
10596,13,13,13,13,13,13,13,13,13,13
10597,0,0,0,0,0,0,0,0,0,0
10598,0,21,0,18,21,0,0,0,0,0
10599,0,0,0,0,0,0,0,18,0,0
10600,0,0,0,0,0,0,0,0,0,0
10601,0,0,0,0,0,0,0,0,0,0
10602,0,0,0,0,0,0,0,0,0,0
10603,5,5,5,5,5,5,5,5,5,5
10604,13,13,13,13,13,13,13,13,13,13
10605,0,0,0,0,0,0,0,0,0,0
10606,12,12,12,12,12,12,12,12,12,12
10607,0,4,0,0,22,0,0,0,0,0
10608,0,0,0,0,0,0,0,0,0,0
10609,0,0,0,0,0,0,16,0,0,0
